Offense Type,Premise,BlockRange,StreetName,Type
Theft,Miscellaneous Business (Non-Specific),1200-1299,SAINT EMANUEL,ST
Theft,Other Parking Lot,2500-2599,CLAY,ST
Aggravated Assault,"Road, Street, or Sidewalk",1900-1999,ROBERTS,-
Theft,"Road, Street, or Sidewalk",1500-1599,HUTCHINS,ST
AutoTheft,"Road, Street, or Sidewalk",2100-2199,CAPITOL,ST
Burglary,Residence or House,1400-1499,PALMER,ST
AutoTheft,"Road, Street, or Sidewalk",2700-2799,LEELAND,-
Theft,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL,ST
Theft,"Road, Street, or Sidewalk",600-699,SAINT EMANUEL,ST
Theft,"Road, Street, or Sidewalk",2000-2099,DALLAS,ST
Theft,"Road, Street, or Sidewalk",1200-1299,SAMPSON,-
Theft,Driveway,3500-3599,DENVER,ST
Theft,Other Parking Lot,1500-1599,CHARTRES,-
Theft,Other Parking Lot,2100-2199,LAMAR,-
Theft,Warehouse,1900-1999,SCOTT,ST
Burglary,Rental Storage Facility,2100-2199,CAPITOL,ST
Theft,Restaurant or Cafeteria Parking Lot,2200-2299,DALLAS,ST
Theft,Bar or Night Club,2200-2299,PRESTON,ST
Theft,Warehouse,2200-2299,JEFFERSON,ST
Robbery,Service or Gas Station,2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",1700-1799,STUART,-
Theft,Driveway,2300-2399,MAIN,ST
Theft,Commercial Parking Lot or Garage,2600-2699,FANNIN,ST
AutoTheft,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO,ST
Aggravated Assault,"Road, Street, or Sidewalk",1000-1099,DREW,ST
Burglary,Residence or House,2600-2699,CRAWFORD,RD
Theft,"Road, Street, or Sidewalk",800-899,ANITA,ST
Theft,"Road, Street, or Sidewalk",800-899,HOLMAN,-
Theft,"Road, Street, or Sidewalk",3200-3299,SAN JACINTO,ST
Burglary,Restaurant or Cafeteria,1100-1199,HOLMAN,-
Robbery,"Road, Street, or Sidewalk",2200-2299,FANNIN,ST
Theft,Service or Gas Station,2000-2099,MAIN,ST
Theft,Apartment,UNK,ALABAMA / MAIN,-
Theft,Apartment Parking Lot,2400-2499,CRAWFORD,RD
Theft,Apartment,2300-2399,LOUISIANA,ST
Theft,Restaurant or Cafeteria Parking Lot,2400-2499,SAN JACINTO,ST
Theft,"Road, Street, or Sidewalk",1300-1399,TRUXILLO,-
Theft,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Aggravated Assault,Convenience Store Parking Lot,2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",3200-3299,MILAM,-
Robbery,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST
Robbery,"Road, Street, or Sidewalk",2200-2299,LA BRANCH,-
Aggravated Assault,Other Parking Lot,2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",3600-3699,MILAM,-
Theft,Bus Station,2100-2199,MAIN,ST
Theft,"Road, Street, or Sidewalk",2700-2799,TRAVIS,ST
Theft,Restaurant or Cafeteria Parking Lot,2800-2899,CAROLINE,ST
Theft,"Road, Street, or Sidewalk",2300-2399,TRAVIS,ST
Theft,Driveway,4100-4199,CAROLINE,ST
Robbery,Convenience Store,2100-2199,FANNIN,ST
Robbery,"Road, Street, or Sidewalk",2100-2199,MAIN,ST
Theft,"Road, Street, or Sidewalk",2000-2099,MAIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",4500-4599,MAIN,ST
Theft,Warehouse,UNK,SAN JACINTO  / ANITA ST,ST
Theft,"Road, Street, or Sidewalk",2900-2999,JACKSON,ST
Theft,"Road, Street, or Sidewalk",3100-3199,HAMILTON,ST
Burglary,Bar or Night Club,2600-2699,MILAM,-
Theft,Bar or Night Club Parking Lot,2700-2799,MILAM,-
Theft,Other Parking Lot,2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",3200-3299,MILAM,-
Aggravated Assault,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",3600-3699,MAIN,ST
Theft,Commercial Parking Lot or Garage,3200-3299,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-
Theft,Apartment,2700-2799,TRAVIS,-
Robbery,Vacant Bank,2300-2399,FANNIN,ST
AutoTheft,Other Parking Lot,1100-1199,HADLEY,ST
Theft,"Road, Street, or Sidewalk",1100-1199,HADLEY,ST
Burglary,Restaurant or Cafeteria,1100-1199,HOLMAN,-
AutoTheft,"Road, Street, or Sidewalk",1600-1699,FRANCIS,ST
Theft,"Road, Street, or Sidewalk",1100-1199,MCILHENNY,ST
Aggravated Assault,"Road, Street, or Sidewalk",2100-2199,MAIN,ST
Aggravated Assault,"Hotel, Motel, Inn, Etc.",2500-2599,HAMILTON,ST
Theft,Driveway,3500-3599,MAIN,ST
Theft,Garage or Carport,3500-3599,MAIN,ST
Robbery,"Road, Street, or Sidewalk",2100-2199,MAIN,ST
Theft,Driveway,1800-1899,MCILHENNY,ST
Burglary,Rental Storage Facility,3000-3099,SAN JACINTO,ST
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,MAIN,ST
Theft,"Road, Street, or Sidewalk",2200-2299,LOUISIANA,ST
Theft,Other Parking Lot,1000-1099,MCGOWEN,ST
Theft,"Road, Street, or Sidewalk",3400-3499,TRAVIS,ST
Theft,Bar or Night Club,2300-2399,MAIN,ST
Aggravated Assault,Grocery Store or Supermarket Parking Lot,2200-2299,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",1300-1399,MCILHENNY,ST
Robbery,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST
Burglary,Residence or House,1800-1899,DENNIS,ST
Theft,Bar or Night Club,2400-2499,MAIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",1000-1099,GRAY,ST
Theft,Bar or Night Club Parking Lot,3300-3399,MILAM,-
Theft,"Road, Street, or Sidewalk",3500-3599,TRAVIS,ST
Rape,"Field, Woods, Forest, Park",4000-4099,TRAVIS,ST
Theft,Other Parking Lot,3300-3399,MAIN,ST
Theft,"Road, Street, or Sidewalk",800-899,BERRY,ST
Theft,"Road, Street, or Sidewalk",2400-2499,FANNIN,ST
Theft,Bar or Night Club,1500-1599,TRUXILLO,-
Theft,"Road, Street, or Sidewalk",1700-1799,MCILHENNY,ST
Aggravated Assault,"Road, Street, or Sidewalk",3800-3899,ALMEDA,RD
Theft,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Robbery,"Road, Street, or Sidewalk",2200-2299,CRAWFORD,RD
Theft,Restaurant or Cafeteria,3700-3799,LA BRANCH,-
Robbery,Bar or Night Club Parking Lot,1100-1199,MCILHENNY,ST
Theft,Service or Gas Station,3800-3899,SAN JACINTO,ST
