Offense Type,Beat,Premise,BlockRange,StreetName,Type
Theft,10H30,"Road, Street, or Sidewalk",2300-2399,DALLAS,ST
Theft,10H30,Residence or House,1000-1099,ROBERTS,ST
Rape,10H30,"Stadium, Sports Arena, Race Track",UNK,NRG PARKWAY,-
Theft,10H30,"Road, Street, or Sidewalk",1000-1099,DOWLING,ST
Theft,10H30,"Road, Street, or Sidewalk",2700-2799,LEELAND,-
Aggravated Assault,10H30,Garage or Carport,2100-2199,CAPITOL,ST
Theft,10H30,"Road, Street, or Sidewalk",1600-1699,DELANO,-
Theft,10H30,"Road, Street, or Sidewalk",3200-3299,LAMAR,-
Theft,10H30,Freeway Service Road,1600-1699,NAGLE,-
Theft,10H30,Commercial Parking Lot or Garage,2200-2299,MCKINNEY,ST
Theft,10H30,"Road, Street, or Sidewalk",2200-2299,MCKINNEY,ST
Theft,10H30,Social Services or Public Charities,400-499,DOWLING,ST
Theft,10H30,Grocery Store or Supermarket Parking Lot,400-499,DOWLING,ST
Auto Theft,10H30,Service or Gas Station,1900-1999,SCOTT,ST
Theft,10H30,Bar or Night Club,1500-1599,ST EMANUEL,ST
Burglary,10H30,Miscellaneous Business (Non-Specific),3700-3799,POLK,-
Burglary,10H30,Condominium,1500-1599,PALMER,ST
Theft,10H30,"Road, Street, or Sidewalk",1200-1299,SAINT EMANUEL,ST
Burglary,10H30,"Multi-Plex Home (Duplex,Triplex Etc.)",1000-1099,SAMPSON,-
Robbery,10H30,"Road, Street, or Sidewalk",400-499,DOWLING,ST
Theft,10H30,"Other, Unknown, or Not Listed",400-499,DOWLING,ST
Theft,10H30,"Road, Street, or Sidewalk",2200-2299,BELL,ST
Aggravated Assault,10H30,"Road, Street, or Sidewalk",1600-1699,DOWLING,ST
Theft,10H30,"Road, Street, or Sidewalk",2300-2399,BELL,ST
Theft,10H30,Residence or House,2800-2899,CLAY,-
Theft,10H40,Residence or House,1500-1599,HADLEY,ST
Theft,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN,ST
Burglary,10H40,Residence or House,2400-2499,MILAM,-
Theft,10H40,"Road, Street, or Sidewalk",2200-2299,AUSTIN,ST
Theft,10H40,"Other, Unknown, or Not Listed",1500-1599,HADLEY,ST
Theft,10H40,Residence or House,1800-1899,ANITA,ST
Burglary,10H40,Apartment Rental Office,4500-4599,TRAVIS,-
Theft,10H40,"Road, Street, or Sidewalk",700-799,TUAM,-
Auto Theft,10H40,Commercial Parking Lot or Garage,2100-2199,MILAM,-
Auto Theft,10H40,"Hotel, Motel, Inn, Etc.",2500-2599,HAMILTON,ST
Robbery,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST
Robbery,10H40,Drug Store or Medical Supply,1000-1099,ELGIN,ST
Robbery,10H40,Driveway,2900-2999,AUSTIN,ST
Aggravated Assault,10H40,Apartment,4600-4699,MAIN,ST
Theft,10H40,Restaurant or Cafeteria Parking Lot,3700-3799,TRAVIS,-
Auto Theft,10H40,Apartment Parking Lot,2400-2499,FANNIN,ST
Robbery,10H40,"Road, Street, or Sidewalk",4400-4499,SAN JACINTO,ST
Theft,10H40,"Road, Street, or Sidewalk",700-799,ROSALIE,-
Theft,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,10H40,"Physician, Doctor, Dentist's Office",3000-3099,FANNIN,ST
Theft,10H40,Commercial Parking Lot or Garage,1500-1599,GRAY,ST
Theft,10H40,Commercial Parking Lot or Garage,2700-2799,MILAM,-
Theft,10H40,Other Parking Lot,2700-2799,MILAM,-
Theft,10H40,Apartment Parking Lot,3800-3899,MAIN,ST
Auto Theft,10H40,"Road, Street, or Sidewalk",2800-2899,CHENEVERT,-
Theft,10H40,"Road, Street, or Sidewalk",1100-1199,MCGOWEN,ST
Auto Theft,10H40,Other Parking Lot,2300-2399,MAIN,ST
Aggravated Assault,10H40,"Road, Street, or Sidewalk",1100-1199,WEBSTER,ST
Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-
Theft,10H40,Commercial Parking Lot or Garage,4100-4199,FANNIN,ST
Theft,10H40,"Road, Street, or Sidewalk",3700-3799,JACKSON,ST
Robbery,10H40,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST
Theft,10H40,"Road, Street, or Sidewalk",2700-2799,TRAVIS,-
Burglary,10H40,Apartment,4500-4599,TRAVIS,-
Theft,10H40,"Road, Street, or Sidewalk",2300-2399,SAN JACINTO,ST
Theft,10H40,"Road, Street, or Sidewalk",2900-2999,TRAVIS,-
Auto Theft,10H40,Driveway,2400-2499,MAIN,ST
Theft,10H40,Other Parking Lot,1500-1599,ALABAMA,ST
Theft,10H40,"Road, Street, or Sidewalk",3400-3499,MILAM,-
Robbery,10H40,Bus Stop,4500-4599,MAIN,ST
Theft,10H40,"Road, Street, or Sidewalk",2600-2699,LOUISIANA,ST
Theft,10H40,"Road, Street, or Sidewalk",3300-3399,MILAM,-
Aggravated Assault,10H40,Restaurant or Cafeteria,4400-4499,FANNIN,ST
Theft,10H40,"Road, Street, or Sidewalk",1400-1499,MCILHENNY,ST
Theft,10H40,Bar or Night Club,2300-2399,MAIN,-
Burglary,10H40,Garage or Carport,1500-1599,DREW,ST
Theft,10H40,"Road, Street, or Sidewalk",1800-1899,STUART,-
Aggravated Assault,10H40,"Road, Street, or Sidewalk",UNK,ALABAMA,ST
Auto Theft,10H40,Commercial Parking Lot or Garage,2300-2399,MAIN,ST
Theft,10H40,"Road, Street, or Sidewalk",1400-1499,MCILHENNY,ST
Robbery,10H40,"Road, Street, or Sidewalk",1200-1299,WEBSTER,ST
Theft,10H40,"Other, Unknown, or Not Listed",2200-2299,FANNIN,ST
Theft,10H40,"Road, Street, or Sidewalk",3000-3099,MAIN,ST
Theft,10H40,Light Rail (Metro Rail) Vehicle,400-499,RICHMOND,AVE
Theft,10H40,"Road, Street, or Sidewalk",2500-2599,TRAVIS,-
Robbery,10H40,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST
Theft,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,10H40,Bar or Night Club,2600-2699,TRAVIS,-
Theft,10H40,"Road, Street, or Sidewalk",2900-2999,LOUISIANA,ST
Theft,10H40,Bar or Night Club Parking Lot,2900-2999,TRAVIS,-
Theft,10H40,Bar or Night Club,2600-2699,TRAVIS,-
Theft,10H40,Rehabilitation Center,1600-1699,MCGOWEN,ST
Theft,10H40,Bar or Night Club,3100-3199,FANNIN,ST
Robbery,10H40,Bus Stop,2100-2199,FANNIN,ST
Theft,10H40,Bar or Night Club Parking Lot,2300-2399,MAIN,ST
Theft,10H40,Apartment Parking Lot,3800-3899,MAIN,ST
Theft,10H40,"Road, Street, or Sidewalk",1800-1899,WINBERN,-
Theft,10H40,"Road, Street, or Sidewalk",800-899,STUART,-
Theft,10H40,"Road, Street, or Sidewalk",2200-2299,MAIN,ST
Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-
Aggravated Assault,10H40,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST
Theft,10H40,Miscellaneous Business (Non-Specific),4200-4299,CAROLINE,ST
Theft,10H40,"Road, Street, or Sidewalk",1500-1599,FRANCIS,ST
Aggravated Assault,10H40,"Road, Street, or Sidewalk",2500-2599,MAIN,ST
Robbery,10H40,"Road, Street, or Sidewalk",1100-1199,MCILHENNY,ST
Theft,10H40,Bus Station,2100-2199,MAIN,ST
Theft,10H40,University or College,1300-1399,HOLMAN,-
Robbery,10H40,"Parks and Recreation, Zoo, Swimming Pool",1700-1799,ELGIN,ST
Theft,10H40,"Road, Street, or Sidewalk",1100-1199,WINBERN,-
Theft,10H40,Bar or Night Club Parking Lot,3700-3799,TRAVIS,-
Theft,10H40,"Road, Street, or Sidewalk",1200-1299,TRUXILLO,-
Auto Theft,10H40,Residence or House,1600-1699,HOLMAN,-
Theft,10H40,Commercial Parking Lot or Garage,1500-1599,TRUXILLO,-
Theft,10H40,"Road, Street, or Sidewalk",3700-3799,JACKSON,ST
Theft,10H40,"Road, Street, or Sidewalk",3600-3699,TRAVIS,-
Robbery,10H40,"Road, Street, or Sidewalk",1000-1099,WEBSTER,ST
Theft,10H40,Restaurant or Cafeteria Parking Lot,2900-2999,MILAM,-
Theft,10H40,Bus Station,2100-2199,MAIN,ST
Aggravated Assault,10H40,"Road, Street, or Sidewalk",2200-2299,MAIN,ST
