Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Hotel, Motel, Inn, Etc.",2500-2599,HAMILTON,ST
Theft,"Road, Street, or Sidewalk",3200-3299,MAIN,ST
Burglary,Bar or Night Club,1700-1799,WEBSTER,ST
Theft,Commercial Parking Lot or Garage,800-899,STUART,-
Robbery,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",700-799,BERRY,ST
Theft,"Road, Street, or Sidewalk",800-899,BERRY,ST
Theft,"Road, Street, or Sidewalk",2300-2399,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",3600-3699,TRAVIS,-
Robbery,"Road, Street, or Sidewalk",2500-2599,MAIN,ST
Theft,Office Building,2100-2199,TRAVIS,-
Theft,Department or Discount Store,1500-1599,HADLEY,ST
Theft,Apartment,700-799,MCGOWEN,ST
Robbery,"Road, Street, or Sidewalk",2900-2999,CRAWFORD,ST
Theft,"Road, Street, or Sidewalk",1300-1399,WEBSTER,ST
Theft,Restaurant or Cafeteria,1700-1799,WEBSTER,ST
Theft,Specialty Store (Non-Specific),2700-2799,MAIN,ST
Robbery,Service or Gas Station,2100-2199,FANNIN,ST
Theft,Service or Gas Station,2100-2199,FANNIN,ST
Theft,Apartment Parking Lot,2300-2399,MILAM,-
Robbery,"Road, Street, or Sidewalk",3600-3699,MAIN,ST
Theft,"Road, Street, or Sidewalk",2900-2999,FANNIN,ST
Theft,"Church, Synagogue, or Temple",1000-1099,HOLMAN,-
Theft,Restaurant or Cafeteria,400-499,RICHMOND,AVE
Theft,"Road, Street, or Sidewalk",2800-2899,CAROLINE,ST
Burglary,Apartment,800-899,ALABAMA,ST
Theft,"Road, Street, or Sidewalk",2700-2799,FANNIN,ST
Theft,Other Parking Lot,1800-1899,MCGOWEN,ST
Theft,"Road, Street, or Sidewalk",800-899,STUART,-
Aggravated Assault,Service or Gas Station,2100-2199,FANNIN,ST
Theft,Apartment Parking Lot,3500-3599,TRAVIS,-
Theft,Commercial Parking Lot or Garage,1500-1599,ALABAMA,ST
Theft,"Road, Street, or Sidewalk",3200-3299,MILAM,-
Theft,"Road, Street, or Sidewalk",3200-3299,MILAM,-
Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,2100-2199,FANNIN,ST
Theft,Apartment Parking Lot,2700-2799,TRAVIS,-
Theft,"Road, Street, or Sidewalk",3100-3199,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",1800-1899,ANITA,ST
Theft,"Other, Unknown, or Not Listed",800-899,ALABAMA,ST
Theft,"Road, Street, or Sidewalk",1800-1899,ANITA,ST
