Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Road, Street, or Sidewalk",3400-3499,TRAVIS ST,ST
Aggravated Assault,Service or Gas Station,2100-2199,HAMILTON ST,ST
Robbery,Restaurant or Cafeteria,1100-1199,HOLMAN,-
Theft,Residence or House,2600-2699,CRAWFORD ST,ST
Theft,"Road, Street, or Sidewalk",900-999,WINBERN,-
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,ST
Theft,"Road, Street, or Sidewalk",3700-3799,TRAVIS ST,ST
Theft,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO ST,ST
Robbery,Private School,2800-2899,CAROLINE ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,AUSTIN ST,ST
Theft,Residence or House,2700-2799,CRAWFORD ST,ST
Theft,"Road, Street, or Sidewalk",2400-2499,LOUISIANA SUITE 400 HOUST,ST
Theft,Restaurant or Cafeteria Parking Lot,3900-3999,LA BRANCH,-
Theft,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-
Theft,Residence or House,2900-2999,CRAWFORD ST,ST
Theft,Commercial Parking Lot or Garage,2900-2999,MILAM,-
Theft,"Road, Street, or Sidewalk",900-999,STUART,-
Theft,"Road, Street, or Sidewalk",2600-2699,TRAVIS ST,ST
Theft,Bus Station,2100-2199,MAIN ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",4300-4399,CAROLINE ST,ST
Theft,"Road, Street, or Sidewalk",3200-3299,TRAVIS ST,ST
Theft,Restaurant or Cafeteria Parking Lot,3700-3799,TRAVIS ST,ST
Theft,Restaurant or Cafeteria,3700-3799,TRAVIS ST,ST
Theft,Other Parking Lot,3000-3099,TRAVIS ST,ST
Theft,Convenience Store,1000-1099,ALABAMA,ST
Aggravated Assault,"Road, Street, or Sidewalk",4200-4299,HOMELESS,-
Theft,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-
Theft,"Road, Street, or Sidewalk",1700-1799,WINBERN,-
Theft,"Road, Street, or Sidewalk",2300-2399,FANNIN ST,ST
Robbery,"Road, Street, or Sidewalk",4500-4599,MAIN ST,ST
Theft,Service or Gas Station,1000-1099,ALABAMA,ST
Theft,"Road, Street, or Sidewalk",1400-1499,TRUXILLO,-
Robbery,"Road, Street, or Sidewalk",27400-27499,MYRTLE LAKE,LN
Burglary,Drug Store or Medical Supply,2200-2299,LOUISIANA,ST
Theft,Light Rail Platform,2600-2699,1/2 MAIN ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",1200-1299,CLEBURNE ST,ST
Theft,Service or Gas Station,1000-1099,ELGIN ST,ST
Theft,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",900-999,PO BOX 49699,-
Theft,"Road, Street, or Sidewalk",UNK,ALMEDA RD/WINBERN,-
Theft,"Road, Street, or Sidewalk",1500-1599,STUART,-
Theft,"Road, Street, or Sidewalk",1100-1199,HADLEY ST,ST
AutoTheft,Miscellaneous Business (Non-Specific),1300-1399,GRAY,ST
Robbery,Department or Discount Store,4200-4299,MAIN,ST
Burglary,Jewelry Stores,2900-2999,MAIN,ST
