Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Road, Street, or Sidewalk",3700-3799,SAINT CHARLES,-
Theft,Bar or Night Club Parking Lot,2300-2399,PIERCE ST,ST
Aggravated Assault,Residence or House,7400-7499,MARISOL,DR
Burglary,"Other, Unknown, or Not Listed",3600-3699,ST CHARLES STREET,-
Theft,Bar or Night Club,2200-2299,WEBSTER ST,ST
Theft,Other Parking Lot,2700-2799,BRIAR GROVE DR APT,-
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",2400-2499,ISABELLA,-
AutoTheft,"Road, Street, or Sidewalk",3100-3199,ALABAMA ST,ST
Burglary,Residence or House,2900-2999,TRUXILLO,-
Theft,Residence or House,2600-2699,BERRY,-
Burglary,Residence or House,3300-3399,TUAM,-
Theft,Apartment,3700-3799,BURKETT ST,ST
Theft,Convenience Store,4400-4499,DUESENBERG,DR
Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",2700-2799,TRUXILLO,-
Theft,Apartment,5800-5899,SOUTHSEAS,ST
Theft,"Vacant Single Occ Resd(House,Townhs,Dplex)",2400-2499,ISABELLA,-
Theft,"Road, Street, or Sidewalk",8800-8899,GULF FRWY,-
Theft,Convenience Store,2600-2699,HOLMAN,-
Burglary,Residence or House,2800-2899,ANITA ST,ST
Robbery,"Road, Street, or Sidewalk",2700-2799,SCOTT ST,ST
Burglary,Commercial Building,3100-3199,EMANCIPATION AVE,-
Theft,Commercial Parking Lot or Garage,600-699,WALKER,ST
Burglary,Convenience Store,3200-3299,MCGOWEN,ST
Burglary,Residence or House,2800-2899,BERRY ST,ST
Robbery,Bus Stop,3500-3599,MCGOWEN ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",2500-2599,WEBSTER ST,ST
Theft,University or College,3800-3899,HOLMAN,-
Aggravated Assault,Bus Stop,8700-8799,GUINEVERE,-
Burglary,"Vacant Church, Synagogue, or Temple",3100-3199,CLEBURNE,ST
Aggravated Assault,"Road, Street, or Sidewalk",10900-10999,SEGREST,ST
Burglary,"Church, Synagogue, or Temple",3200-3299,HADLEY,ST
Theft,Residence or House,3100-3199,TRULLEY,-
Robbery,"Road, Street, or Sidewalk",3200-3299,ELGIN ST,ST
Robbery,Convenience Store,3000-3099,SCOTT ST,ST
Aggravated Assault,Service or Gas Station,3100-3199,ELGIN ST,ST
Burglary,Apartment,3700-3799,BURKETT ST APT 35D,-
Robbery,"Road, Street, or Sidewalk",3500-3599,MCILHENNY ST,ST
Burglary,Residence or House,3100-3199,CLEBURNE,ST
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,DREW ST,ST
Theft,"Road, Street, or Sidewalk",2100-2199,ALABAMA ST,ST
Theft,"Other, Unknown, or Not Listed",4900-4999,CALHOUN RD,RD
Aggravated Assault,"Road, Street, or Sidewalk",2400-2499,SAMPSON,-
Aggravated Assault,"Road, Street, or Sidewalk",3000-3099,FRANCIS,ST
Theft,Other Parking Lot,2300-2399,ELGIN ST,ST
Theft,Convenience Store Parking Lot,3300-3399,WINBERN,-
Burglary,Apartment,2500-2599,WEBSTER ST,ST
AutoTheft,Vacant Building (Commercial),2300-2399,EMANCIPATION AVE,-
Aggravated Assault,Apartment Parking Lot,1200-1299,FRANKLIN,ST
Aggravated Assault,Residence or House,2600-2699,BERRY,-
Theft,"Road, Street, or Sidewalk",500-599,LENORA DR APT B,-
Theft,"Road, Street, or Sidewalk",2300-2399,TRUXILLO,-
Aggravated Assault,Bar or Night Club,3000-3099,WENTWORTH ST,ST
Theft,"Amusement Park, Bowling Alley, Skate Rink",5200-5299,CALHOUN RD,RD
Theft,Residence or House,2900-2999,BURKETT ST APT B,-
AutoTheft,Driveway,3800-3899,JULIUS LN,-
Aggravated Assault,"Road, Street, or Sidewalk",5100-5199,EMANCIPATION AVE,-
Theft,Service or Gas Station,3300-3399,OLD SPANISH TRL,-
Aggravated Assault,Service or Gas Station,4700-4799,SCOTT ST,ST
Theft,"Road, Street, or Sidewalk",3500-3599,OLD SPANISH TRL,-
Burglary,Residence or House,2900-2999,EAGLE ST,ST
Theft,Apartment,3500-3599,BLODGETT ST,ST
Theft,"Road, Street, or Sidewalk",2400-2499,ARBOR ST,ST
AutoTheft,Apartment Parking Lot,5600-5699,ROYAL PALMS,-
Aggravated Assault,Residence or House,2300-2399,ROSEDALE,-
Burglary,Residence or House,3300-3399,TAMPA,-
Aggravated Assault,Strip Business Center Parking Lot,5800-5899,SCOTT ST,ST
Robbery,Residence or House,2200-2299,WENTWORTH ST,ST
Robbery,Other Parking Lot,21500-21599,PARK ROW,DR
Burglary,Apartment,5500-5599,SAMPSON,-
Burglary,Residence or House,4300-4399,FERNWOOD CT,-
Theft,"Road, Street, or Sidewalk",3300-3399,DIXIE DR,-
Theft,Service or Gas Station,4700-4799,SCOTT,ST
Aggravated Assault,Convenience Store Parking Lot,8000-8099,SHARONDALE,-
Burglary,Apartment,2600-2699,N CALUMET ST,ST
Theft,"Road, Street, or Sidewalk",3700-3799,PARKWOOD DR,-
Theft,Residence or House,5400-5499,LEOPOLD DR,-
Theft,Apartment Parking Lot,6400-6499,DEL RIO ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",5400-5499,LAKE HILL FARM,WAY
Burglary,Apartment,3500-3599,MACGREGOR,WAY
Theft,"Road, Street, or Sidewalk",2900-2999,SOUTHMORE BLVD,BLVD
Theft,Apartment,3500-3599,DIXIE DR,-
Aggravated Assault,Apartment Parking Lot,2300-2399,SOUTHMORE BLVD,BLVD
Aggravated Assault,"Road, Street, or Sidewalk",6300-6399,BOWLING GREEN ST,ST
Aggravated Assault,Apartment,4000-4099,GRIGGS RD,RD
Theft,"Road, Street, or Sidewalk",3300-3399,RALEIGH,-
Theft,Miscellaneous Business (Non-Specific),5600-5699,CONDON,LN
Theft,Residence or House,3700-3799,SOUTHMORE BLVD,BLVD
Robbery,Apartment,3900-3999,CAMELIA GLEN LANE,-
Theft,Residence or House,2200-2299,BARBEE ST,ST
Robbery,Other Parking Lot,4100-4199,HOWCHER,-
AutoTheft,"Road, Street, or Sidewalk",5200-5299,822A CLEAR LAKE ROAD,-
Theft,Driveway,3100-3199,OAKDALE,-
AutoTheft,"Road, Street, or Sidewalk",3300-3399,OAKDALE,-
AutoTheft,Highway or Freeway,3500-3599,CHARLESTON,-
Theft,"Road, Street, or Sidewalk",2900-2999,RUTH,-
Theft,Grocery Store or Supermarket,3800-3899,OLD SPANISH TRL,-
Theft,"Road, Street, or Sidewalk",3300-3399,WENTWORTH ST,ST
Aggravated Assault,Residence or House,3600-3699,WENTWORTH ST,ST
Theft,Residence or House,7700-7799,ELLIS,DR
Theft,Apartment Parking Lot,6400-6499,BOWLING GREEN ST,ST
