Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Vacant Single Occ Resd(House,Townhs,Dplex)",2200-2299,STUART,-
Aggravated Assault,Residence or House,3400-3499,BUELAH,ST
Aggravated Assault,Residence or House,2600-2699,ALABAMA ST,ST
Burglary,"Vacant Other Residential (Apartment,Dorms)",8500-8599,HARFORD MILLS,DR
Theft,"Road, Street, or Sidewalk",3500-3599,NAPOLEON,-
Robbery,"Road, Street, or Sidewalk",2700-2799,REED ROAD,-
Theft,"Road, Street, or Sidewalk",2300-2399,PIERCE ST,ST
Aggravated Assault,Residence or House,2300-2399,BURKETT,-
Theft,Residence or House,2600-2699,LUCINDA,ST
Theft,"Road, Street, or Sidewalk",3300-3399,ALABAMA ST,ST
Theft,Service or Gas Station,2000-2099,DOWLING ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",2200-2299,SAINT EMANUEL ST,ST
Robbery,Restaurant or Cafeteria,2400-2499,ISABELLA,-
Robbery,"Road, Street, or Sidewalk",3800-3899,NELVA PARK,DR
Robbery,Residence or House,6300-6399,LYNDHURST,ST
Theft,"Road, Street, or Sidewalk",3300-3399,HOMELESS,-
Burglary,Garage or Carport,2100-2199,TRUXILLO,ST
Aggravated Assault,"Road, Street, or Sidewalk",3000-3099,NAGLE,-
Burglary,Residence or House,3100-3199,SUNBEAM,-
Theft,Convenience Store Parking Lot,2600-2699,LOOP,-
Robbery,Convenience Store,2700-2799,SCOTT,ST
Theft,Strip Business Center Parking Lot,2200-2299,ALABAMA,ST
Burglary,Residence or House,3500-3599,SAMPSON,-
Theft,Driveway,3000-3099,CLEBURNE,ST
Burglary,Residence or House,2300-2399,CLEBURNE,ST
AutoTheft,"Road, Street, or Sidewalk",2500-2599,SCOTT ST OB,-
Theft,"Parks and Recreation, Zoo, Swimming Pool",3800-3899,CANFIELD,ST
Burglary,Residence or House,3000-3099,NAGLE,-
Theft,Residence or House,2200-2299,CLEBURNE,-
Aggravated Assault,"Road, Street, or Sidewalk",3000-3099,LIVE OAK,-
Robbery,"Road, Street, or Sidewalk",3200-3299,TRUXILLO,-
Robbery,"Road, Street, or Sidewalk",3400-3499,MCGOWEN ST,ST
Theft,Residence or House,2300-2399,RR 3 BX 4021,-
Burglary,Vacant Restaurant,3300-3399,SCOTT,ST
Theft,Residence or House,3700-3799,DREW ST,ST
Robbery,"Road, Street, or Sidewalk",2000-2099,CHARTRES ST,ST
Theft,Liquor Store,2700-2799,BERRY,ST
Aggravated Assault,Residence or House,2100-2199,HUTCHINS,-
Aggravated Assault,Residence or House,2300-2399,CALLIE ST,ST
Theft,"Road, Street, or Sidewalk",4000-4099,TUAM,-
Theft,"Road, Street, or Sidewalk",3400-3499,DENNIS ST,ST
Burglary,Garage or Carport,2700-2799,CLEBURNE,-
Burglary,Garage or Carport,2500-2599,ST. EMANUEL,-
Theft,"Road, Street, or Sidewalk",3500-3599,NAPOLEON,-
Aggravated Assault,Highway or Freeway,3300-3399,KATHRYN,CIR
AutoTheft,Apartment Parking Lot,3100-3199,GRAY ST,ST
Burglary,Residence or House,2800-2899,BERRY,ST
Theft,Residence or House,3300-3399,ANITA,ST
Theft,Convenience Store Parking Lot,3200-3299,2 ANITA,-
Rape,Residence or House,3500-3599,NAPOLEON,-
Theft,Residence or House,3600-3699,SOUTHMORE BLVD,BLVD
Robbery,"Vacant Single Occ Resd(House,Townhs,Dplex)",3900-3999,FERNWOOD DR,-
Burglary,Apartment,3600-3699,ROSEDALE,-
AutoTheft,Commercial Parking Lot or Garage,3300-3399,DIXIE DR,-
AutoTheft,Bar or Night Club Parking Lot,2500-2599,WENTWORTH ST,ST
