Offense Type,Premise,BlockRange,StreetName,Type
Aggravated Assault,"Field, Woods, Forest, Park",100-199,SUL ROSS,-
Theft,Apartment,4600-4699,MAIN,ST
Theft,Commercial Parking Lot or Garage,2800-2899,CAROLINE,ST
Theft,"Other, Unknown, or Not Listed",UNK,LA BRANCH,-
Theft,Bus Station,4500-4599,MAIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",4000-4099,CRAWFORD,ST
Theft,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Auto Theft,Other Parking Lot,3200-3299,SAN JACINTO,ST
Burglary,Bar or Night Club,1500-1599,ALABAMA,ST
Theft,"Road, Street, or Sidewalk",700-799,BERRY,ST
Theft,Bar or Night Club Parking Lot,2900-2999,TRAVIS,-
Aggravated Assault,"Road, Street, or Sidewalk",2000-2099,MAIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",2200-2299,MILAM,-
Aggravated Assault,"Road, Street, or Sidewalk",3500-3599,MAIN,ST
Theft,"Road, Street, or Sidewalk",900-999,FRANCIS,ST
Theft,Restaurant or Cafeteria Parking Lot,1000-1099,GRAY,ST
Theft,Restaurant or Cafeteria Parking Lot,700-799,STUART,-
Burglary,"Gym, Recreat, Club House, Indoor Pool, Spa",2600-2699,LOUISIANA,ST
Theft,Apartment Rental Office,2700-2799,TRAVIS,-
Aggravated Assault,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST
Theft,Bar or Night Club,2400-2499,SAN JACINTO,ST
Robbery,"Road, Street, or Sidewalk",4200-4299,SAN JACINTO,ST
Theft,"Road, Street, or Sidewalk",3600-3699,TRAVIS,-
Theft,"Road, Street, or Sidewalk",2700-2799,MILAM,-
Robbery,"Road, Street, or Sidewalk",2300-2399,MAIN,ST
Theft,Department or Discount Store,3300-3399,TRAVIS,-
Theft,"Road, Street, or Sidewalk",3300-3399,CRAWFORD,ST
Theft,"Road, Street, or Sidewalk",1000-1099,TUAM,-
Theft,Other Parking Lot,3200-3299,LOUISIANA,ST
Burglary,Miscellaneous Business (Non-Specific),1100-1199,HOLMAN,-
Theft,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-
Theft,Driveway,4200-4299,TRAVIS,-
Theft,Other Parking Lot,3100-3199,TRAVIS,-
Theft,Bus Station,2100-2199,MAIN,ST
Robbery,"Road, Street, or Sidewalk",1100-1199,WEBSTER,ST
Theft,"Road, Street, or Sidewalk",800-899,STUART,-
Theft,Bus Station,2100-2199,MAIN,ST
Theft,"Road, Street, or Sidewalk",3500-3599,TRAVIS,-
Theft,"Road, Street, or Sidewalk",800-899,BERRY,ST
Theft,"Road, Street, or Sidewalk",2400-2499,CAROLINE,ST
Theft,"Road, Street, or Sidewalk",3300-3399,CRAWFORD,ST
Theft,Hotel or Motel Parking Lot,2500-2599,HAMILTON,ST
Theft,Hospital,2000-2099,CRAWFORD,ST
Theft,Freeway Service Road,500-599,SOUTHWEST,FWY
Theft,"Road, Street, or Sidewalk",800-899,BERRY,ST
Robbery,"Road, Street, or Sidewalk",3400-3499,SAN JACINTO,ST
Aggravated Assault,Other Parking Lot,3200-3299,MAIN,ST
Theft,"Other, Unknown, or Not Listed",2900-2999,CHENEVERT,-
Theft,Other Parking Lot,3300-3399,MILAM,-
Theft,Restaurant or Cafeteria,2600-2699,LOUISIANA,ST
Auto Theft,"Road, Street, or Sidewalk",1400-1499,CLEBURNE,ST
Theft,"Church, Synagogue, or Temple",3600-3699,MILAM,-
Theft,Apartment Parking Lot,3600-3699,CHENEVERT,-
Theft,"Road, Street, or Sidewalk",1100-1199,BERRY,ST
Theft,"Road, Street, or Sidewalk",3200-3299,MILAM,-
Auto Theft,Other Parking Lot,4300-4399,FANNIN,ST
Theft,Commercial Parking Lot or Garage,3200-3299,LOUISIANA,ST
Theft,Miscellaneous Business (Non-Specific),3000-3099,TRAVIS,-
Theft,"Road, Street, or Sidewalk",3500-3599,NAGLE,-
Burglary,Residence or House,3300-3399,ROSALIE,-
Theft,"Road, Street, or Sidewalk",3500-3599,ELGIN,ST
Theft,Residence or House,3300-3399,BREMOND,ST
Theft,Apartment Parking Lot,3200-3299,TRUXILLO,-
