Offense Type,Premise,BlockRange,StreetName,Type
Robbery,Restaurant or Cafeteria,4000-4099,ELGIN,ST
Robbery,"Road, Street, or Sidewalk",3400-3499,BREMOND,ST
Aggravated Assault,"Road, Street, or Sidewalk",3000-3099,BREMOND,ST
Theft,Residence or House,3400-3499,ANITA,ST
Robbery,"Hotel, Motel, Inn, Etc.",2600-2699,NAPOLEON,-
Burglary,"Church, Synagogue, or Temple",3200-3299,HADLEY,ST
Robbery,Convenience Store,3300-3399,WINBERN,-
Aggravated Assault,Residence or House,3300-3399,ANITA,ST
Theft,Residence or House,3700-3799,BREMOND,ST
Auto Theft,"Road, Street, or Sidewalk",3400-3499,ROSALIE,-
Burglary,Apartment,3500-3599,ATTUCKS,ST
Burglary,Restaurant or Cafeteria,3300-3399,SCOTT,ST
Theft,Residence or House,3300-3399,ALABAMA,ST
Theft,Restaurant or Cafeteria,4000-4099,ELGIN,ST
Burglary,Residence or House,3700-3799,BURKETT,ST
Burglary,Apartment,3500-3599,ATTUCKS,ST
Auto Theft,"Road, Street, or Sidewalk",2800-2899,WINBERN,-
Aggravated Assault,"Road, Street, or Sidewalk",2400-2499,SAMPSON,-
Burglary,Hospital,3300-3399,DELANO,-
Theft,"Hotel, Motel, Inn, Etc.",2600-2699,NAPOLEON,-
Robbery,Restaurant or Cafeteria Parking Lot,3000-3099,SCOTT,ST
Theft,"Road, Street, or Sidewalk",2500-2599,NETTLETON,-
Rape,Residence or House,2200-2299,TRUXILLO,-
Aggravated Assault,Residence or House,2200-2299,SAINT EMANUEL,ST
Robbery,Apartment,3700-3799,SAINT CHARLES,-
Auto Theft,"Road, Street, or Sidewalk",3200-3299,REEVES,-
Theft,Residence or House,2800-2899,NAGLE,-
Aggravated Assault,"Road, Street, or Sidewalk",2100-2199,STUART,-
Robbery,"Road, Street, or Sidewalk",2800-2899,SAMPSON,-
Aggravated Assault,Service or Gas Station,2400-2499,FRANCIS,ST
Auto Theft,Service or Gas Station,3400-3499,MCILHENNY,ST
Robbery,Bus Stop,2600-2699,MCGOWEN,ST
Auto Theft,Residence or House,2700-2799,ISABELLA,-
Auto Theft,"Road, Street, or Sidewalk",2600-2699,TRUXILLO,-
Aggravated Assault,"Road, Street, or Sidewalk",2800-2899,NAPOLEON,-
Aggravated Assault,"Road, Street, or Sidewalk",3100-3199,ANITA,ST
Theft,"Road, Street, or Sidewalk",2700-2799,MCGOWEN,ST
Aggravated Assault,Convenience Store Parking Lot,3200-3299,TRUXILLO,-
Aggravated Assault,Residence or House,3000-3099,SAUER,-
Aggravated Assault,Residence or House,3700-3799,BREMOND,ST
Aggravated Assault,"Road, Street, or Sidewalk",3000-3099,SCOTT,ST
