Offense Type,Beat,Premise,BlockRange,StreetName,Type
Burglary,10H40,Apartment,4600-4699,MAIN ST,ST
Aggravated Assault,10H40,"Road, Street, or Sidewalk",10200-10299,FLATLAND TRAIL,-
Burglary,10H40,Apartment,2300-2399,MILAM,-
Theft,10H40,Restaurant or Cafeteria Parking Lot,2600-2699,SAN JACINTO ST,ST
Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,2200-2299,SAN JACINTO ST,ST
Theft,10H40,Restaurant or Cafeteria Parking Lot,10900-10999,BRIAR FOREST,ST
Theft,10H40,Restaurant or Cafeteria Parking Lot,4100-4199,NORTH WEBBER,DR
Theft,10H40,Apartment,4000-4099,FANNIN,ST
Theft,10H40,Driveway,2800-2899,CHENEVERT ST,ST
AutoTheft,10H40,Residence or House,3000-3099,CHENEVERT ST,ST
Aggravated Assault,10H40,Government or Public Building,1500-1599,HADLEY ST,ST
Theft,10H40,"Field, Woods, Forest, Park",6300-6399,SLOAN,ST
AutoTheft,10H40,"Road, Street, or Sidewalk",3000-3099,MILAM,-
Robbery,10H40,Other Parking Lot,1200-1299,MCGOWEN ST,ST
AutoTheft,10H40,Garage or Carport,2300-2399,LOUISIANA ST,ST
Aggravated Assault,10H40,"Road, Street, or Sidewalk",4400-4499,FANNIN ST,ST
AutoTheft,10H40,"Road, Street, or Sidewalk",1700-1799,WEBSTER ST,ST
Theft,10H40,Garage or Carport,3800-3899,MAIN ST,ST
Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS ST,ST
Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Theft,10H40,Other Parking Lot,UNK,HOMELESS,-
Theft,10H40,Apartment Parking Lot,3400-3499,DALLAS,ST
Theft,10H40,Other Parking Lot,27500-27599,BLUE CEDAR LANE,-
Theft,10H40,Apartment Parking Lot,2300-2399,MAIN ST,ST
Theft,10H40,"Road, Street, or Sidewalk",900-999,GRAY ST,ST
Robbery,10H40,"Road, Street, or Sidewalk",3800-3899,FANNIN ST,ST
AutoTheft,10H40,"Road, Street, or Sidewalk",13900-13999,ROSECREST,ST
Theft,10H40,Apartment,4000-4099,FANNIN ST,ST
Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS ST,ST
Theft,10H40,Miscellaneous Business (Non-Specific),1000-1099,CLEBURNE ST,ST
Theft,10H40,Other Parking Lot,1000-1099,ELGIN ST,ST
Aggravated Assault,10H40,"Road, Street, or Sidewalk",1500-1599,ALABAMA ST,ST
Theft,10H40,"Road, Street, or Sidewalk",3600-3699,WELLBORN,RD
Theft,10H40,"Road, Street, or Sidewalk",3000-3099,CAROLINE ST,ST
Robbery,10H40,Service or Gas Station,1100-1199,CAROLINE APT 2706,-
Theft,10H40,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST
Theft,10H40,Commercial Parking Lot or Garage,5900-5999,LAS COLINAS,BLVD
Aggravated Assault,10H40,Service or Gas Station,13200-13299,I-10 EAST,ST
Aggravated Assault,10H40,"Road, Street, or Sidewalk",1000-1099,WEBSTER ST,ST
Aggravated Assault,10H40,Bar or Night Club,2300-2399,MAIN ST,ST
Theft,10H40,"Road, Street, or Sidewalk",700-799,MILAM,-
Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
AutoTheft,10H50,"Road, Street, or Sidewalk",2100-2199,SAINT CHARLES,-
Robbery,10H50,"Parks and Recreation, Zoo, Swimming Pool",7600-7699,DARNEY,-
Burglary,10H50,Apartment,7400-7499,CALHOUN,-
Theft,10H50,"Laundry, Dry Cleaners, Washaterias",3000-3099,TRUXILLO,-
Theft,10H50,Strip Business Center Parking Lot,2500-2599,ANITA,-
Burglary,10H50,Residence or House,11200-11299,VETERANS MEMORIAL,-
Theft,10H50,"Parks and Recreation, Zoo, Swimming Pool",3000-3099,DOWLING,ST
Aggravated Assault,10H50,Convenience Store,2800-2899,NETTLETON,ST
Murder,10H50,"Road, Street, or Sidewalk",2600-2699,WINBERN,-
Theft,10H50,Grocery Store or Supermarket Parking Lot,3700-3799,BURKETTE,-
Theft,10H50,Residence or House,2300-2399,DOWLING ST,ST
Theft,10H50,Residence or House,3000-3099,NAGLE,-
Aggravated Assault,10H50,"Road, Street, or Sidewalk",3000-3099,TUAM,-
AutoTheft,10H50,Apartment Parking Lot,2300-2399,DOWLING ST,ST
Theft,10H50,Convenience Store,3000-3099,ELGIN ST,ST
AutoTheft,10H50,"Road, Street, or Sidewalk",8600-8699,ASPEN VIEW,CT
Aggravated Assault,10H50,"Road, Street, or Sidewalk",3100-3199,NAGLE,-
Aggravated Assault,10H50,"Road, Street, or Sidewalk",2100-2199,SAMPSON,-
Robbery,10H50,"Road, Street, or Sidewalk",2600-2699,DOWLING ST,ST
AutoTheft,10H50,Service or Gas Station,3300-3399,EMANCIPATION AVE,-
Robbery,10H50,Service or Gas Station,2600-2699,SAMPSON,-
