Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Road, Street, or Sidewalk",3700-3799,LA BRANCH,-
AutoTheft,"Road, Street, or Sidewalk",700-799,TUAM,-
Theft,Residence or House,2500-2599,MILAM,-
Theft,"Road, Street, or Sidewalk",3800-3899,ALMEDA RD,RD
Aggravated Assault,Bus Station,1000-1099,GRAY ST,ST
Burglary,Miscellaneous Business (Non-Specific),1200-1299,ELGIN,ST
Theft,"Road, Street, or Sidewalk",1000-1099,TRUXILLO,-
Burglary,Apartment,5200-5299,FAIRGREEN,-
Theft,"Church, Synagogue, or Temple Parking Lot",3700-3799,MAIN ST,ST
Theft,Light Rail (Metro Rail) Vehicle,4400-4499,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",7800-7899,GALLEON FIELD,LN
Aggravated Assault,Residence or House,1700-1799,HOLMAN,-
Aggravated Assault,"Road, Street, or Sidewalk",1500-1599,ALABAMA ST,ST
Theft,Residence or House,1700-1799,HOLMAN,-
Theft,"Road, Street, or Sidewalk",2100-2199,MAIN ST,ST
Murder,"Road, Street, or Sidewalk",1700-1799,FAIRWAY,ST
Robbery,"Road, Street, or Sidewalk",3800-3899,FANNIN,-
Robbery,Bar or Night Club,2200-2299,MAIN ST,ST
Robbery,Miscellaneous Business (Non-Specific),900-999,ALABAMA ST,ST
Theft,Department or Discount Store,4200-4299,MAIN,ST
Robbery,"Road, Street, or Sidewalk",1500-1599,BLALOCK,RD
Theft,Commercial Parking Lot or Garage,1100-1199,TEXAS,AVE
Theft,Apartment,4600-4699,MAIN,ST
Theft,Grocery Store or Supermarket Parking Lot,2200-2299,LOUISIANA ST,ST
Theft,"Road, Street, or Sidewalk",UNK,HAPPY HOLLOW,-
Theft,Apartment Parking Lot,2700-2799,TRAVIS ST,ST
Theft,Driveway,2900-2999,JACKSON ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",11900-11999,MAIN,ST
Theft,Restaurant or Cafeteria Parking Lot,2800-2899,CAROLINE ST,ST
Theft,"Road, Street, or Sidewalk",8600-8699,VALLEY SONG DRIVE,-
Theft,"Road, Street, or Sidewalk",8400-8499,BELLARIE BLVD.,-
Theft,"Road, Street, or Sidewalk",6300-6399,PENHALLOW,LN
Theft,"Road, Street, or Sidewalk",3500-3599,TRAVIS ST,ST
Theft,"Road, Street, or Sidewalk",2500-2599,FANNIN ST,ST
Burglary,Miscellaneous Business (Non-Specific),1100-1199,HOLMAN,-
Theft,"Other, Unknown, or Not Listed",2700-2799,CAROLINE ST,ST
Theft,"Gym, Recreat, Club House, Indoor Pool",3200-3299,LOUISIANA ST,ST
Theft,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST
Burglary,Residence or House,3500-3599,CHENEVERT ST,ST
Theft,"Gym, Recreat, Club House, Indoor Pool",3200-3299,LOUISIANA ST,ST
